created_at,entry_id,field1,latitude,longitude,elevation,status
2025-01-26T22:26:01+00:00,1,31.30000,,,,
2025-01-26T22:26:19+00:00,2,31.30000,,,,
2025-01-26T22:26:38+00:00,3,31.30000,,,,
2025-01-26T22:28:55+00:00,4,32.80000,,,,
2025-01-26T22:29:13+00:00,5,32.80000,,,,
2025-01-26T22:29:31+00:00,6,32.30000,,,,
2025-01-26T22:29:49+00:00,7,31.80000,,,,
2025-01-26T22:30:08+00:00,8,31.80000,,,,
2025-01-26T22:30:26+00:00,9,31.30000,,,,
2025-01-26T22:34:18+00:00,10,29.80000,,,,
2025-01-26T22:34:39+00:00,11,29.80000,,,,
2025-01-26T22:34:55+00:00,12,29.80000,,,,
2025-01-26T22:35:12+00:00,13,29.80000,,,,
2025-01-26T22:35:29+00:00,14,29.80000,,,,
2025-01-26T22:35:56+00:00,15,29.80000,,,,
2025-01-26T22:36:13+00:00,16,29.80000,,,,
2025-01-26T22:36:30+00:00,17,29.80000,,,,
2025-01-26T22:36:47+00:00,18,29.80000,,,,
2025-01-26T22:37:04+00:00,19,29.80000,,,,
2025-01-26T22:37:21+00:00,20,29.80000,,,,
2025-01-26T22:37:38+00:00,21,29.80000,,,,
2025-01-26T22:37:55+00:00,22,29.80000,,,,
2025-01-26T22:38:12+00:00,23,29.80000,,,,
2025-01-26T22:38:28+00:00,24,29.80000,,,,
2025-01-26T22:38:45+00:00,25,29.80000,,,,
2025-01-26T22:39:03+00:00,26,29.80000,,,,
2025-01-26T22:39:20+00:00,27,29.80000,,,,
2025-01-26T22:39:37+00:00,28,29.80000,,,,
2025-01-26T22:39:54+00:00,29,29.80000,,,,
2025-01-26T22:40:11+00:00,30,29.80000,,,,
2025-01-26T22:40:28+00:00,31,29.80000,,,,
2025-01-26T22:40:45+00:00,32,29.80000,,,,
2025-01-26T22:41:02+00:00,33,29.80000,,,,
2025-01-26T22:41:20+00:00,34,29.80000,,,,
2025-01-26T22:41:37+00:00,35,29.80000,,,,
2025-01-26T22:41:54+00:00,36,29.80000,,,,
2025-01-26T22:42:11+00:00,37,29.80000,,,,
2025-01-26T22:42:29+00:00,38,29.80000,,,,
2025-01-26T22:42:46+00:00,39,29.80000,,,,
2025-01-26T22:43:03+00:00,40,29.80000,,,,
2025-01-26T22:43:20+00:00,41,29.80000,,,,
2025-01-26T22:43:37+00:00,42,29.80000,,,,
2025-01-26T22:43:55+00:00,43,29.80000,,,,
2025-01-26T22:44:12+00:00,44,29.80000,,,,
2025-01-26T22:44:29+00:00,45,29.80000,,,,
2025-01-26T22:44:47+00:00,46,29.80000,,,,
2025-01-26T22:45:04+00:00,47,29.80000,,,,
2025-01-26T22:45:21+00:00,48,29.80000,,,,
2025-01-26T22:45:38+00:00,49,29.80000,,,,
2025-01-26T23:10:28+00:00,50,29.80000,,,,
2025-01-26T23:10:45+00:00,51,29.80000,,,,
2025-01-26T23:11:46+00:00,52,29.80000,,,,
2025-01-26T23:12:13+00:00,53,29.80000,,,,
2025-01-26T23:12:30+00:00,54,29.80000,,,,
2025-01-26T23:12:46+00:00,55,29.80000,,,,
2025-01-26T23:13:03+00:00,56,30.80000,,,,
2025-01-26T23:13:19+00:00,57,30.80000,,,,
2025-01-26T23:13:36+00:00,58,30.80000,,,,
2025-01-26T23:13:53+00:00,59,31.30000,,,,
2025-01-26T23:14:09+00:00,60,30.80000,,,,
